Am sters optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian , prioritatea  3
Am sters optiunea cu id-ul : 102e  pentru sectia  Mathematics , limba :  english , prioritatea  4
Am sters optiunea cu id-ul : 101h  pentru sectia  Computer Science , limba :  hungarian , prioritatea  1
Am adaugat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian , prioritatea  1
Am adaugat optiunea cu id-ul : 101e  pentru sectia  Computer Science , limba :  english , prioritatea  2
Am adaugat optiunea cu id-ul : 101h  pentru sectia  Computer Science , limba :  hungarian , prioritatea  7
Am modificat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian ,cu noua  prioritate  -1
Am modificat optiunea cu id-ul : 101e  pentru sectia  Computer Science , limba :  english ,cu noua  prioritate  1
Am modificat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian ,cu noua  prioritate  2
Am modificat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian ,cu noua  prioritate  -1
Am modificat optiunea cu id-ul : 101h  pentru sectia  Computer Science , limba :  hungarian ,cu noua  prioritate  2
Am modificat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian ,cu noua  prioritate  7
Am modificat optiunea cu id-ul : 101e  pentru sectia  Computer Science , limba :  english ,cu noua  prioritate  -1
Am modificat optiunea cu id-ul : 101h  pentru sectia  Computer Science , limba :  hungarian ,cu noua  prioritate  1
Am modificat optiunea cu id-ul : 101e  pentru sectia  Computer Science , limba :  english ,cu noua  prioritate  2
Am modificat optiunea cu id-ul : 101e  pentru sectia  Computer Science , limba :  english ,cu noua  prioritate  -1
Am modificat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian ,cu noua  prioritate  2
Am modificat optiunea cu id-ul : 101e  pentru sectia  Computer Science , limba :  english ,cu noua  prioritate  7
Am modificat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian ,cu noua  prioritate  -1
Am modificat optiunea cu id-ul : 101e  pentru sectia  Computer Science , limba :  english ,cu noua  prioritate  2
Am modificat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian ,cu noua  prioritate  7
Am modificat optiunea cu id-ul : 101e  pentru sectia  Computer Science , limba :  english ,cu noua  prioritate  -1
Am modificat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian ,cu noua  prioritate  2
Am modificat optiunea cu id-ul : 101e  pentru sectia  Computer Science , limba :  english ,cu noua  prioritate  7
Am modificat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian ,cu noua  prioritate  -1
Am modificat optiunea cu id-ul : 101e  pentru sectia  Computer Science , limba :  english ,cu noua  prioritate  2
Am modificat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian ,cu noua  prioritate  7
Am modificat optiunea cu id-ul : 101h  pentru sectia  Computer Science , limba :  hungarian ,cu noua  prioritate  -1
Am modificat optiunea cu id-ul : 101e  pentru sectia  Computer Science , limba :  english ,cu noua  prioritate  1
Am modificat optiunea cu id-ul : 101h  pentru sectia  Computer Science , limba :  hungarian ,cu noua  prioritate  2
Am modificat optiunea cu id-ul : 101h  pentru sectia  Computer Science , limba :  hungarian ,cu noua  prioritate  -1
Am modificat optiunea cu id-ul : 101e  pentru sectia  Computer Science , limba :  english ,cu noua  prioritate  2
Am modificat optiunea cu id-ul : 101h  pentru sectia  Computer Science , limba :  hungarian ,cu noua  prioritate  1
Am modificat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian ,cu noua  prioritate  -1
Am modificat optiunea cu id-ul : 101e  pentru sectia  Computer Science , limba :  english ,cu noua  prioritate  7
Am modificat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian ,cu noua  prioritate  2
Am modificat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian ,cu noua  prioritate  -1
Am modificat optiunea cu id-ul : 101e  pentru sectia  Computer Science , limba :  english ,cu noua  prioritate  2
Am modificat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian ,cu noua  prioritate  7
Am modificat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian ,cu noua  prioritate  4
Am modificat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian ,cu noua  prioritate  5
Am modificat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian ,cu noua  prioritate  4
Am modificat optiunea cu id-ul : 101e  pentru sectia  Computer Science , limba :  english ,cu noua  prioritate  -1
Am modificat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian ,cu noua  prioritate  2
Am modificat optiunea cu id-ul : 101e  pentru sectia  Computer Science , limba :  english ,cu noua  prioritate  4
Am modificat optiunea cu id-ul : 101h  pentru sectia  Computer Science , limba :  hungarian ,cu noua  prioritate  -1
Am modificat optiunea cu id-ul : 101r  pentru sectia  Computer Science , limba :  romanian ,cu noua  prioritate  1
Am modificat optiunea cu id-ul : 101h  pentru sectia  Computer Science , limba :  hungarian ,cu noua  prioritate  2
Am modificat optiunea cu id-ul : 101h  pentru sectia  Computer Science , limba :  hungarian ,cu noua  prioritate  -1
Am modificat optiunea cu id-ul : 101e  pentru sectia  Computer Science , limba :  english ,cu noua  prioritate  2
